OrderDate,rows_count,total_quantity,total_sales_value
2020-03-25,8,8,24092.61
2020-03-26,4,4,15458.13
2020-03-27,9,9,34561.24
2020-03-28,7,7,17723.2
2020-03-29,11,11,42097.76
2020-03-30,13,13,43388.27
2020-03-31,12,12,40155.37
2020-04-01,5,5,19322.66
2020-04-02,5,5,13103.65
2020-04-03,11,11,42097.76
2020-04-04,5,5,12691.56
2020-04-05,9,9,24820.64
2020-04-06,5,5,15801.07
2020-04-07,10,10,35123.73
2020-04-08,6,6,22967.65
2020-04-09,3,3,8264.55
2020-04-10,4,4,15046.04
2020-04-11,9,9,34561.24
2020-04-12,13,13,43222.73
2020-04-13,6,6,22748.1
2020-04-14,7,7,23942.22
2020-04-15,11,11,32742.25
2020-04-16,9,9,34176.16
2020-04-17,8,8,30723.71
2020-04-18,6,6,16556.09
2020-04-19,6,6,22994.65
2020-04-20,6,6,22967.65
2020-04-21,6,6,22967.65
2020-04-22,7,7,26612.64
2020-04-23,9,9,24655.1
2020-04-24,9,9,31259.19
2020-04-25,6,6,20077.68
2020-04-26,5,5,15993.61
2020-04-27,5,5,15993.61
2020-04-28,1,1,3864.53
2020-04-29,7,7,23722.67
2020-04-30,3,3,8264.55
2020-05-01,4,4,15458.13
2020-05-02,12,12,43072.33
2020-05-03,3,3,8264.55
2020-05-04,7,7,23530.13
2020-05-05,6,6,19885.14
2020-05-06,7,7,26639.64
2020-05-07,8,8,27202.12
2020-05-08,8,8,30696.71
2020-05-09,5,5,18937.57
2020-05-10,8,8,27394.66
2020-05-11,5,5,19130.12
2020-05-12,12,12,36633.78
2020-05-13,4,4,8827.03
2020-05-14,4,4,15073.04
2020-05-15,6,6,16968.18
2020-05-16,2,2,7729.06
2020-05-17,6,6,20077.68
2020-05-18,11,11,29659.74
2020-05-19,13,13,43580.81
2020-05-20,7,7,23530.13
2020-05-21,9,9,31451.74
2020-05-22,5,5,19130.12
2020-05-23,15,15,47815.29
2020-05-24,7,7,23749.67
2020-05-25,5,5,19130.12
2020-05-26,7,7,26612.64
2020-05-27,9,9,34561.24
2020-05-28,5,5,15993.61
2020-05-29,8,8,30477.17
2020-05-30,6,6,19692.6
2020-05-31,8,8,15657.55
2020-06-01,3,3,4282.19
2020-06-02,13,13,30672.0
2020-06-03,9,9,17637.49
2020-06-04,10,10,22871.44
2020-06-05,11,11,24258.42
2020-06-06,9,9,19524.1
2020-06-07,6,6,14558.92
2020-06-08,5,5,11940.82
2020-06-09,7,7,10685.62
2020-06-10,12,12,21350.83
2020-06-11,8,8,18869.41
2020-06-12,12,12,24752.21
2020-06-13,10,10,23697.15
2020-06-14,4,4,8479.35
2020-06-15,6,6,12646.78
2020-06-16,11,11,27211.66
2020-06-17,7,7,11815.11
2020-06-18,8,8,16390.18
2020-06-19,10,10,20914.47
2020-06-20,10,10,22612.49
2020-06-21,7,7,17340.8
2020-06-22,7,7,16771.95
2020-06-23,6,6,12150.76
2020-06-24,9,9,18368.36
2020-06-25,5,5,10409.65
2020-06-26,10,10,20440.09
2020-06-27,5,5,10385.87
2020-06-28,6,6,13709.1
2020-06-29,10,10,18624.42
2020-06-30,9,9,21365.17
2020-07-01,9,9,17562.11
2020-07-02,8,8,14739.72
2020-07-03,6,6,12908.8
2020-07-04,9,9,20444.28
2020-07-05,7,7,17197.74
2020-07-06,12,12,26117.97
2020-07-07,11,11,25087.85
2020-07-08,8,8,17219.29
2020-07-09,8,8,15848.5
2020-07-10,4,4,8005.67
2020-07-11,5,5,9181.92
2020-07-12,9,9,21623.79
2020-07-13,12,12,28502.36
2020-07-14,10,10,19683.68
2020-07-15,12,12,24351.03
2020-07-16,5,5,10314.8
2020-07-17,10,10,19707.46
2020-07-18,8,8,17709.36
2020-07-19,11,11,25486.15
2020-07-20,12,12,23640.88
2020-07-21,10,10,20536.89
2020-07-22,10,10,21903.96
2020-07-23,5,5,11944.21
2020-07-24,11,11,21756.71
2020-07-25,11,11,22158.72
2020-07-26,13,13,22502.37
2020-07-27,11,11,20178.57
2020-07-28,8,8,17903.7
2020-07-29,6,6,13850.4
2020-07-30,8,8,16438.07
2020-07-31,12,12,25174.61
2020-08-01,2,2,3082.76
2020-08-02,7,7,12478.81
2020-08-03,8,8,18159.26
2020-08-04,6,6,11279.38
2020-08-05,4,4,9424.35
2020-08-06,4,4,9707.08
2020-08-07,2,2,3484.45
2020-08-08,9,9,20256.4
2020-08-09,9,9,17208.64
2020-08-10,9,9,18204.59
2020-08-11,8,8,16600.92
2020-08-12,7,7,10566.67
2020-08-13,11,11,19939.74
2020-08-14,10,10,17679.43
2020-08-15,4,4,9564.02
2020-08-16,5,5,8923.3
2020-08-17,5,5,10504.82
2020-08-18,9,9,20161.55
2020-08-19,9,9,15397.8
2020-08-20,7,7,10658.45
2020-08-21,5,5,11777.05
2020-08-22,5,5,8994.36
2020-08-23,7,7,9291.05
2020-08-24,9,9,16953.08
2020-08-25,6,6,10122.72
2020-08-26,10,10,20912.33
2020-08-27,3,3,5414.74
2020-08-28,2,2,3082.76
2020-08-29,7,7,13986.2
2020-08-30,9,9,14687.64
2020-08-31,8,8,14194.98
2020-09-01,8,8,13745.08
2020-09-02,7,7,16796.06
2020-09-03,7,7,13822.43
2020-09-04,3,3,5438.85
2020-09-05,7,7,13158.4
2020-09-06,7,7,12407.74
2020-09-07,7,7,14979.09
2020-09-08,3,3,7514.77
2020-09-09,4,4,9281.29
2020-09-10,7,7,16820.16
2020-09-11,12,12,19349.97
2020-09-12,13,13,25996.46
2020-09-13,6,6,13638.03
2020-09-14,6,6,11724.96
2020-09-15,9,9,14781.98
2020-09-16,6,6,11820.74
2020-09-17,7,7,14172.0
2020-09-18,12,12,23095.62
2020-09-19,9,9,15489.58
2020-09-20,10,10,20649.39
2020-09-21,7,7,13846.21
2020-09-22,7,7,13158.4
2020-09-23,9,9,19735.76
2020-09-24,7,7,13417.02
2020-09-25,9,9,16713.92
2020-09-26,3,3,7350.99
2020-09-27,6,6,11633.18
2020-09-28,6,6,10877.7
2020-09-29,12,12,25244.04
2020-09-30,5,5,7766.64
2020-10-01,6,6,11681.07
2020-10-02,4,4,9445.06
2020-10-03,6,6,11371.17
2020-10-04,1,1,2638.82
2020-10-05,6,6,8329.54
2020-10-06,9,9,17330.66
2020-10-07,5,5,7599.79
2020-10-08,7,7,15118.76
2020-10-09,4,4,8077.67
2020-10-10,7,7,14859.81
2020-10-11,11,11,22773.7
2020-10-12,6,6,11633.18
2020-10-13,4,4,9564.02
2020-10-14,5,5,12226.94
2020-10-15,3,3,5721.58
2020-10-16,8,8,16600.92
2020-10-17,6,6,9462.09
2020-10-18,7,7,12125.01
2020-10-19,4,4,7886.72
2020-10-20,9,9,17823.62
2020-10-21,7,7,10917.07
2020-10-22,4,4,8077.67
2020-10-23,5,5,7599.79
2020-10-24,10,10,19189.88
2020-10-25,8,8,17358.96
2020-10-26,6,6,11160.43
2020-10-27,14,14,14806.21
2020-10-28,6,6,11820.74
2020-10-29,6,6,11796.96
2020-10-30,9,9,16904.86
2020-10-31,11,11,21641.15
2020-11-01,9,9,15725.35
2020-11-02,16,16,31979.13
2020-11-03,3,3,4139.13
2020-11-04,13,13,21770.67
2020-11-05,6,6,12571.39
2020-11-06,17,17,30987.67
2020-11-07,11,11,20362.47
2020-11-08,7,7,10706.34
2020-11-09,10,10,17365.2
2020-11-10,14,14,26842.09
2020-11-11,17,17,34614.55
2020-11-12,12,12,23945.95
2020-11-13,16,16,28036.99
2020-11-14,5,5,10126.92
2020-11-15,11,11,16659.87
2020-11-16,11,11,19729.0
2020-11-17,10,10,21380.26
2020-11-18,14,14,30682.26
2020-11-19,14,14,26793.87
2020-11-20,3,3,5530.63
2020-11-21,12,12,21421.06
2020-11-22,12,12,22885.39
2020-11-23,13,13,24318.83
2020-11-24,8,8,12990.43
2020-11-25,8,8,16977.99
2020-11-26,9,9,17163.81
2020-11-27,10,10,21992.35
2020-11-28,14,14,24838.67
2020-11-29,7,7,17102.9
2020-11-30,7,7,12216.8
2020-12-01,8,8,13440.33
2020-12-02,12,12,21279.76
2020-12-03,7,7,14601.18
2020-12-04,8,8,20119.29
2020-12-05,7,7,14577.08
2020-12-06,2,2,4712.18
2020-12-07,9,9,15793.02
2020-12-08,10,10,16991.95
2020-12-09,9,9,19593.02
2020-12-10,11,11,16802.93
2020-12-11,7,7,15094.65
2020-12-12,7,7,14315.06
2020-12-13,12,12,22530.67
2020-12-14,6,6,13326.37
2020-12-15,10,10,17277.74
2020-12-16,11,11,21661.86
2020-12-17,7,7,11931.0
2020-12-18,7,7,14009.98
2020-12-19,5,5,10171.74
2020-12-20,7,7,16390.98
2020-12-21,7,7,13301.46
2020-12-22,10,10,17937.45
2020-12-23,14,14,23066.19
2020-12-24,7,7,14859.81
2020-12-25,4,4,6802.05
2020-12-26,10,10,21924.68
2020-12-27,3,3,5697.47
2020-12-28,5,5,12366.61
2020-12-29,8,8,14552.17
2020-12-30,6,6,9979.66
2020-12-31,8,8,18866.02
2021-01-01,10,10,19588.83
2021-01-02,10,10,21193.81
2021-01-03,9,9,12206.65
2021-01-04,17,17,33319.15
2021-01-05,8,8,18181.61
2021-01-06,14,14,24409.48
2021-01-07,8,8,17212.83
2021-01-08,11,11,18593.06
2021-01-09,11,11,22130.71
2021-01-10,7,7,16132.36
2021-01-11,4,4,9019.27
2021-01-12,10,10,20084.86
2021-01-13,11,11,21988.49
2021-01-14,11,11,20082.8
2021-01-15,11,11,20079.41
2021-01-16,4,4,8900.32
2021-01-17,12,12,26776.85
2021-01-18,13,13,26394.75
2021-01-19,10,10,20652.46
2021-01-20,10,10,18883.05
2021-01-21,13,13,21910.66
2021-01-22,11,11,23199.49
2021-01-23,3,3,4330.08
2021-01-24,11,11,21236.07
2021-01-25,15,15,31251.42
2021-01-26,7,7,10873.18
2021-01-27,3,3,5792.65
2021-01-28,8,8,13793.29
2021-01-29,9,9,10839.25
2021-01-30,11,11,21284.28
2021-01-31,6,6,12220.99
2021-02-01,6,6,12857.52
2021-02-02,17,17,35700.15
2021-02-03,6,6,10640.3
2021-02-04,9,9,14023.94
2021-02-05,14,14,26413.23
2021-02-06,5,5,9864.9
2021-02-07,5,5,10290.69
2021-02-08,8,8,14147.09
2021-02-09,19,19,35737.88
2021-02-10,7,7,16108.25
2021-02-11,9,9,17918.46
2021-02-12,5,5,12107.99
2021-02-13,7,7,15073.94
2021-02-14,9,9,19970.6
2021-02-15,15,15,32334.65
2021-02-16,12,12,21490.83
2021-02-17,11,11,17058.49
2021-02-18,5,5,9158.14
2021-02-19,7,7,9382.84
2021-02-20,6,6,13847.01
2021-02-21,5,5,7340.84
2021-02-22,4,4,9350.22
2021-02-23,8,8,12425.9
2021-02-24,4,4,6141.42
2021-02-25,13,13,26656.44
2021-02-26,10,10,18955.37
2021-02-27,10,10,22609.42
2021-02-28,10,10,22469.75
2021-03-01,11,11,20556.48
2021-03-02,13,13,28445.13
2021-03-03,5,5,8851.3
2021-03-04,12,12,20925.04
2021-03-05,10,10,17672.37
2021-03-06,5,5,9086.15
2021-03-07,11,11,20338.03
2021-03-08,13,13,25618.55
2021-03-09,10,10,20649.39
2021-03-10,6,6,13302.26
2021-03-11,13,13,25993.07
2021-03-12,7,7,13632.41
2021-03-13,18,18,31754.52
2021-03-14,7,7,14789.07
2021-03-15,10,10,18081.44
2021-03-16,7,7,15023.91
2021-03-17,16,16,27825.33
2021-03-18,11,11,24304.87
2021-03-19,7,7,11981.95
2021-03-20,9,9,14873.77
2021-03-21,5,5,5973.45
2021-03-22,6,6,9129.84
2021-03-23,6,6,10972.55
2021-03-24,15,15,30211.77
2021-03-25,15,15,25184.37
2021-03-26,9,9,12349.71
2021-03-27,11,11,21168.39
2021-03-28,8,8,17216.22
2021-03-29,7,7,12430.92
2021-03-30,11,11,18568.95
2021-03-31,13,13,23846.41
2021-04-01,11,11,23620.46
2021-04-02,15,15,23011.05
2021-04-03,9,9,18436.04
2021-04-04,14,14,22306.39
2021-04-05,15,15,26975.8
2021-04-06,9,9,18272.26
2021-04-07,15,15,27966.13
2021-04-08,8,8,13532.11
2021-04-09,6,6,11088.44
2021-04-10,12,12,20849.98
2021-04-11,13,13,23420.79
2021-04-12,9,9,12656.55
2021-04-13,12,12,17996.23
2021-04-14,9,9,17136.64
2021-04-15,8,8,13130.43
2021-04-16,8,8,14290.15
2021-04-17,2,2,4994.91
2021-04-18,7,7,14597.79
2021-04-19,10,10,17607.76
2021-04-20,10,10,19142.0
2021-04-21,12,12,22125.59
2021-04-22,12,12,23285.32
2021-04-23,16,16,28226.18
2021-04-24,7,7,12168.91
2021-04-25,10,10,21260.98
2021-04-26,10,10,19729.8
2021-04-27,12,12,21846.85
2021-04-28,9,9,16456.22
2021-04-29,15,15,29243.5
2021-04-30,17,17,28572.72
2021-05-01,15,15,27617.16
2021-05-02,13,13,23865.87
2021-05-03,9,9,10628.51
2021-05-04,9,9,14070.9
2021-05-05,8,8,12919.36
2021-05-06,11,11,22368.95
2021-05-07,11,11,18736.12
2021-05-08,17,17,33739.79
2021-05-09,7,7,14832.64
2021-05-10,14,14,26437.34
2021-05-11,10,10,21972.89
2021-05-12,11,11,22910.3
2021-05-13,10,10,20840.34
2021-05-14,11,11,18617.16
2021-05-15,14,14,27148.92
2021-05-16,7,7,11084.24
2021-05-17,10,10,18832.09
2021-05-18,8,8,16128.16
2021-05-19,14,14,25450.58
2021-05-20,10,10,17628.47
2021-05-21,16,16,26478.65
2021-05-22,6,6,9860.71
2021-05-23,9,9,17044.86
2021-05-24,11,11,20998.16
2021-05-25,9,9,17020.75
2021-05-26,8,8,12612.53
2021-05-27,13,13,30667.17
2021-05-28,13,13,23282.38
2021-05-29,7,7,14266.85
2021-05-30,10,10,21121.31
2021-05-31,35,35,25803.5
2021-06-01,42,42,27086.79
2021-06-02,64,64,37600.63
2021-06-03,58,58,46899.79
2021-06-04,39,39,31812.75
2021-06-05,24,24,13797.36
2021-06-06,45,45,35325.13
2021-06-07,38,38,29558.89
2021-06-08,58,58,35295.96
2021-06-09,34,34,23529.98
2021-06-10,69,69,46748.6
2021-06-11,47,47,24586.84
2021-06-12,44,44,32113.95
2021-06-13,39,39,29315.24
2021-06-14,62,62,33255.44
2021-06-15,40,40,26083.86
2021-06-16,42,42,31678.62
2021-06-17,21,21,18213.3
2021-06-18,37,37,19159.72
2021-06-19,76,76,46447.62
2021-06-20,25,25,11515.07
2021-06-21,45,45,31591.22
2021-06-22,34,34,30207.2
2021-06-23,85,85,49951.61
2021-06-24,39,39,26445.93
2021-06-25,44,44,40147.15
2021-06-26,42,42,21668.3
2021-06-27,39,39,23404.04
2021-06-28,64,64,49966.32
2021-06-29,31,31,22945.3
2021-06-30,49,49,35446.25
2021-07-01,110,110,24240.36
2021-07-02,106,106,18948.22
2021-07-03,134,134,37754.99
2021-07-04,100,100,25149.9
2021-07-05,92,92,11482.52
2021-07-06,106,106,34172.32
2021-07-07,144,144,43007.65
2021-07-08,180,180,44334.12
2021-07-09,135,135,39422.69
2021-07-10,88,88,9997.43
2021-07-11,99,99,25317.34
2021-07-12,148,148,42097.19
2021-07-13,133,133,29317.33
2021-07-14,128,128,24143.34
2021-07-15,96,96,9650.37
2021-07-16,135,135,26696.39
2021-07-17,124,124,33185.86
2021-07-18,137,137,47326.82
2021-07-19,149,149,35135.51
2021-07-20,101,101,24676.38
2021-07-21,119,119,23985.0
2021-07-22,64,64,17909.28
2021-07-23,89,89,25670.13
2021-07-24,166,166,41465.97
2021-07-25,152,152,36803.33
2021-07-26,123,123,36121.49
2021-07-27,118,118,17887.81
2021-07-28,130,130,32007.8
2021-07-29,153,153,36580.74
2021-07-30,134,134,33357.41
2021-07-31,126,126,27360.89
2021-08-01,84,84,23943.51
2021-08-02,140,140,42952.79
2021-08-03,118,118,43010.6
2021-08-04,142,142,30106.22
2021-08-05,113,113,40414.37
2021-08-06,109,109,37521.93
2021-08-07,138,138,33444.25
2021-08-08,141,141,38909.93
2021-08-09,154,154,42779.62
2021-08-10,121,121,34400.95
2021-08-11,87,87,23776.78
2021-08-12,163,163,42044.94
2021-08-13,168,168,60462.01
2021-08-14,132,132,39222.04
2021-08-15,136,136,34204.24
2021-08-16,111,111,23997.36
2021-08-17,134,134,27459.63
2021-08-18,152,152,34658.77
2021-08-19,173,173,62434.57
2021-08-20,139,139,50405.21
2021-08-21,133,133,25469.74
2021-08-22,126,126,44791.79
2021-08-23,154,154,39658.92
2021-08-24,112,112,27672.63
2021-08-25,100,100,33800.28
2021-08-26,119,119,30938.89
2021-08-27,148,148,41224.85
2021-08-28,123,123,24118.64
2021-08-29,87,87,24680.15
2021-08-30,128,128,32573.18
2021-08-31,129,129,25850.55
2021-09-01,157,157,40914.17
2021-09-02,133,133,33591.38
2021-09-03,123,123,36992.91
2021-09-04,152,152,44059.72
2021-09-05,185,185,48568.76
2021-09-06,128,128,27463.26
2021-09-07,187,187,49120.57
2021-09-08,145,145,42175.53
2021-09-09,135,135,29909.41
2021-09-10,121,121,42831.17
2021-09-11,124,124,40193.67
2021-09-12,118,118,37065.32
2021-09-13,143,143,40181.3
2021-09-14,163,163,40368.61
2021-09-15,91,91,28965.43
2021-09-16,121,121,39714.96
2021-09-17,140,140,49302.1
2021-09-18,112,112,42500.29
2021-09-19,133,133,24085.8
2021-09-20,125,125,37055.8
2021-09-21,165,165,46792.06
2021-09-22,144,144,41122.84
2021-09-23,104,104,19435.74
2021-09-24,125,125,29790.55
2021-09-25,159,159,48259.72
2021-09-26,104,104,33839.43
2021-09-27,120,120,38816.06
2021-09-28,117,117,30038.48
2021-09-29,122,122,38955.14
2021-09-30,121,121,38924.82
2021-10-01,119,119,29583.76
2021-10-02,126,126,41065.29
2021-10-03,178,178,53007.91
2021-10-04,140,140,30754.66
2021-10-05,119,119,35075.12
2021-10-06,125,125,41863.58
2021-10-07,157,157,42447.91
2021-10-08,102,102,30661.44
2021-10-09,126,126,50277.68
2021-10-10,140,140,57071.04
2021-10-11,85,85,19917.57
2021-10-12,136,136,39818.16
2021-10-13,140,140,39036.83
2021-10-14,152,152,38971.52
2021-10-15,152,152,45186.11
2021-10-16,118,118,41248.61
2021-10-17,143,143,44816.24
2021-10-18,164,164,42444.21
2021-10-19,158,158,46991.79
2021-10-20,89,89,29123.5
2021-10-21,151,151,41067.54
2021-10-22,173,173,63075.2
2021-10-23,121,121,41040.82
2021-10-24,185,185,65885.13
2021-10-25,108,108,37960.76
2021-10-26,137,137,46223.29
2021-10-27,158,158,54359.45
2021-10-28,160,160,57775.37
2021-10-29,160,160,49281.6
2021-10-30,152,152,36707.53
2021-10-31,170,170,68096.8
2021-11-01,174,174,56107.73
2021-11-02,178,178,67970.3
2021-11-03,175,175,55429.47
2021-11-04,167,167,60282.01
2021-11-05,201,201,78166.58
2021-11-06,241,241,83548.09
2021-11-07,164,164,51233.05
2021-11-08,148,148,50444.91
2021-11-09,122,122,30739.02
2021-11-10,178,178,62413.22
2021-11-11,189,189,75289.49
2021-11-12,192,192,63883.84
2021-11-13,155,155,65154.02
2021-11-14,194,194,62272.99
2021-11-15,130,130,39736.52
2021-11-16,167,167,53723.96
2021-11-17,186,186,72445.06
2021-11-18,175,175,68850.59
2021-11-19,165,165,73395.37
